Bx	By	Bz
-15.5245	0.	0.867659
-15.6238	0.	0.37543
-15.7169	0.	-0.114016
-15.8036	0.	-0.598152
-15.8838	0.	-1.0745
-15.9577	0.	-1.54065
-16.0251	0.	-1.99427
-16.0861	0.	-2.43317
-16.1405	0.	-2.85524
-16.1885	0.	-3.25856
-16.23	0.	-3.64134
-16.2649	0.	-4.00197
-16.2933	0.	-4.33902
-16.3151	0.	-4.65126
-16.3305	0.	-4.93766
-16.3393	0.	-5.19739
-16.3416	0.	-5.42983
-16.3374	0.	-5.63456
-16.3267	0.	-5.81138
-16.3096	0.	-5.96028
-16.286	0.	-6.08147
-16.256	0.	-6.17532
-16.2197	0.	-6.2424
-16.177	0.	-6.28344
-16.128	0.	-6.29933
-16.0727	0.	-6.29112
-16.0112	0.	-6.25995
-15.9436	0.	-6.20711
-15.8698	0.	-6.13397
-15.79	0.	-6.04198
-15.7041	0.	-5.93266
-15.6123	0.	-5.80758
-15.5146	0.	-5.66832
-15.411	0.	-5.5165
-15.3017	0.	-5.35371
-15.1867	0.	-5.18155
-15.0661	0.	-5.00158
-14.94	0.	-4.81532
-14.8084	0.	-4.62422
-14.6713	0.	-4.42968
-14.529	0.	-4.23303
-14.3815	0.	-4.03551
-14.2288	0.	-3.83828
-14.071	0.	-3.64239
-13.9083	0.	-3.44882
-13.7407	0.	-3.25843
-13.5684	0.	-3.07201
-13.3913	0.	-2.89023
-13.2097	0.	-2.71366
-13.0235	0.	-2.54281
-12.833	0.	-2.37806
-12.6381	0.	-2.21974
-12.4391	0.	-2.06807
-12.2359	0.	-1.92323
-12.0288	0.	-1.7853
-11.8177	0.	-1.65432
-11.6029	0.	-1.53025
-11.3844	0.	-1.41304
-11.1623	0.	-1.30255
-10.9367	0.	-1.19863
-10.7077	0.	-1.10111
-10.4755	0.	-1.00975
-10.2401	0.	-0.92433
-10.0016	0.	-0.844598
-9.76025	0.	-0.770291
-9.51601	0.	-0.701136
-9.26904	0.	-0.636858
-9.01944	0.	-0.577178
-8.76732	0.	-0.521818
-8.51278	0.	-0.470505
-8.25593	0.	-0.422969
-7.99687	0.	-0.378947
-7.73572	0.	-0.338183
-7.47257	0.	-0.300432
-7.20752	0.	-0.265455
-6.94069	0.	-0.233028
-6.67217	0.	-0.202933
-6.40208	0.	-0.174968
-6.13049	0.	-0.148937
-5.85753	0.	-0.124661
-5.58329	0.	-0.101969
-5.30787	0.	-0.0807029
-5.03137	0.	-0.0607174
-4.75389	0.	-0.0418774
-4.47551	0.	-0.0240598
-4.19635	0.	-0.00715294
-3.91649	0.	0.00894423
-3.63602	0.	0.0243219
-3.35505	0.	0.0390602
-3.07366	0.	0.0532295
-2.79194	0.	0.066891
-2.50998	0.	0.0800974
-2.22788	0.	0.0928936
-1.94571	0.	0.105318
-1.66357	0.	0.117401
-1.38154	0.	0.129169
-1.0997	0.	0.140643
-0.818139	0.	0.151841
-0.536936	0.	0.162776
-0.256173	0.	0.173461
0.0240724	0.	0.183905
0.303721	0.	0.194118
0.582697	0.	0.204106
0.860923	0.	0.21388
1.13833	0.	0.223446
1.41483	0.	0.232815
1.69037	0.	0.241995
1.96487	0.	0.250996
2.23826	0.	0.259829
2.51047	0.	0.268506
2.78143	0.	0.277039
3.05109	0.	0.285438
3.31937	0.	0.293716
3.58621	0.	0.301884
3.85154	0.	0.309952
4.11532	0.	0.31793
4.37747	0.	0.325826
4.63793	0.	0.333647
4.89666	0.	0.341398
5.15358	0.	0.349083
5.40865	0.	0.356703
5.66182	0.	0.364259
5.91302	0.	0.371749
6.16221	0.	0.379172
6.40933	0.	0.386523
6.65433	0.	0.393797
6.89717	0.	0.400991
7.13779	0.	0.408099
7.37615	0.	0.415116
7.6122	0.	0.422038
7.84589	0.	0.428862
8.07719	0.	0.435585
8.30605	0.	0.442206
8.53242	0.	0.448726
8.75626	0.	0.455146
8.97753	0.	0.461471
9.1962	0.	0.467703
9.41222	0.	0.473851
9.62555	0.	0.47992
9.83616	0.	0.485919
10.044	0.	0.491857
10.2491	0.	0.497743
10.4513	0.	0.503585
10.6506	0.	0.509392
10.8471	0.	0.515172
11.0406	0.	0.520931
11.2312	0.	0.526675
11.4188	0.	0.532409
11.6033	0.	0.538135
11.7848	0.	0.543854
11.9632	0.	0.549565
12.1385	0.	0.555268
12.3106	0.	0.560959
12.4796	0.	0.566633
12.6453	0.	0.572286
12.8079	0.	0.577912
12.9672	0.	0.583505
13.1232	0.	0.58906
13.2759	0.	0.594571
13.4253	0.	0.600035
13.5713	0.	0.605447
13.714	0.	0.610805
13.8533	0.	0.616109
13.9891	0.	0.621359
14.1215	0.	0.626558
14.2505	0.	0.631709
14.376	0.	0.636817
14.498	0.	0.641888
14.6164	0.	0.64693
14.7313	0.	0.65195
14.8427	0.	0.656958
14.9505	0.	0.66196
15.0547	0.	0.666967
15.1552	0.	0.671984
15.2522	0.	0.677019
15.3455	0.	0.682077
15.4351	0.	0.687163
15.521	0.	0.692279
15.6033	0.	0.697427
15.6818	0.	0.702607
15.7566	0.	0.707816
15.8276	0.	0.713051
15.8949	0.	0.71831
15.9584	0.	0.723585
16.0182	0.	0.728872
16.0741	0.	0.734164
16.1262	0.	0.739455
16.1745	0.	0.744741
16.219	0.	0.750015
16.2595	0.	0.755274
16.2963	0.	0.760515
16.3291	0.	0.765737
16.3581	0.	0.770939
16.3831	0.	0.776125
16.4043	0.	0.781297
16.4215	0.	0.786461
16.4348	0.	0.791621
16.4442	0.	0.796787
16.4496	0.	0.801966
16.451	0.	0.807167
16.4485	0.	0.8124
16.442	0.	0.817672
16.4315	0.	0.822993
16.417	0.	0.828371
16.3985	0.	0.833811
16.376	0.	0.83932
16.3495	0.	0.844901
16.3189	0.	0.850557
16.2844	0.	0.856288
16.2457	0.	0.862094
16.2031	0.	0.867972
16.1564	0.	0.873919
16.1056	0.	0.879929
16.0508	0.	0.885999
15.9919	0.	0.892121
15.929	0.	0.898291
15.8619	0.	0.904503
15.7908	0.	0.910753
15.7157	0.	0.917036
15.6364	0.	0.92335
15.5531	0.	0.929695
15.4657	0.	0.936071
15.3742	0.	0.942481
15.2786	0.	0.94893
15.179	0.	0.955423
15.0753	0.	0.961969
14.9675	0.	0.968576
14.8556	0.	0.975256
14.7396	0.	0.982018
14.6196	0.	0.988876
14.4955	0.	0.99584
14.3673	0.	1.00292
14.2351	0.	1.01013
14.0988	0.	1.01748
13.9585	0.	1.02498
13.8141	0.	1.03263
13.6657	0.	1.04044
13.5133	0.	1.04842
13.3568	0.	1.05656
13.1964	0.	1.06487
13.0319	0.	1.07334
12.8635	0.	1.08198
12.6911	0.	1.09078
12.5147	0.	1.09975
12.3344	0.	1.10886
12.1501	0.	1.11814
11.962	0.	1.12756
11.7699	0.	1.13714
11.5739	0.	1.14688
11.3741	0.	1.15677
11.1705	0.	1.16683
10.963	0.	1.17707
10.7517	0.	1.18749
10.5366	0.	1.19811
10.3177	0.	1.20894
10.0952	0.	1.22001
9.86888	0.	1.23133
9.63891	0.	1.24293
9.40529	0.	1.25483
9.16804	0.	1.26706
8.9272	0.	1.27964
8.6828	0.	1.2926
8.43487	0.	1.30596
8.18344	0.	1.31976
7.92855	0.	1.33402
7.67024	0.	1.34877
7.40855	0.	1.36403
7.14351	0.	1.37983
6.87517	0.	1.3962
6.60356	0.	1.41317
6.32874	0.	1.43076
6.05075	0.	1.44902
5.76964	0.	1.46797
5.48545	0.	1.48765
5.19823	0.	1.5081
4.90804	0.	1.52937
4.61494	0.	1.55151
4.31896	0.	1.57458
4.02018	0.	1.59864
3.71865	0.	1.62377
3.41444	0.	1.65004
3.10759	0.	1.67755
2.79818	0.	1.70638
2.48627	0.	1.73664
2.17193	0.	1.76843
1.85523	0.	1.80188
1.53624	0.	1.8371
1.21502	0.	1.87421
0.891661	0.	1.91335
0.566231	0.	1.95464
0.238809	0.	1.99821
-0.0905259	0.	2.04419
-0.421691	0.	2.09269
-0.754605	0.	2.14384
-1.08918	0.	2.19774
-1.42533	0.	2.25449
-1.76297	0.	2.31417
-2.10201	0.	2.37683
-2.44235	0.	2.44253
-2.7839	0.	2.51127
-3.12656	0.	2.58306
-3.47025	0.	2.65784
-3.81485	0.	2.73554
-4.16026	0.	2.81604
-4.50639	0.	2.89919
-4.85313	0.	2.98475
-5.20037	0.	3.07247
-5.548	0.	3.16203
-5.89592	0.	3.25302
-6.24401	0.	3.34498
-6.59217	0.	3.43738
-6.94027	0.	3.52959
-7.2882	0.	3.62091
-7.63584	0.	3.71054
-7.98308	0.	3.79758
-8.3298	0.	3.88104
-8.67586	0.	3.95983
-9.02117	0.	4.03276
-9.36557	0.	4.09851
-9.70896	0.	4.15568
-10.0512	0.	4.20276
-10.3922	0.	4.23814
-10.7318	0.	4.26012
-11.0698	0.	4.26691
-11.4062	0.	4.25665
-11.7408	0.	4.22739
-12.0735	0.	4.17715
-12.4042	0.	4.10391
-12.7326	0.	4.00562
-13.0588	0.	3.88024
-13.3825	0.	3.72575
-13.7036	0.	3.54017
-14.022	0.	3.32158
-14.3376	0.	3.06817
-14.6502	0.	2.77825
-14.9597	0.	2.45028
-15.2659	0.	2.0829
-15.5688	0.	1.67494
-15.8681	0.	1.2255
-16.1638	0.	0.733904
-16.4557	0.	0.199786
-16.7438	0.	-0.376918
-17.0278	0.	-0.995939
-17.3076	0.	-1.65666
-17.5831	0.	-2.35809
-17.8543	0.	-3.09887
-18.1209	0.	-3.87724
-18.3828	0.	-4.69107
-18.64	0.	-5.53783
-18.8922	0.	-6.41458
-19.1394	0.	-7.31805
-19.3815	0.	-8.24456
-19.6183	0.	-9.19012
-19.8498	0.	-10.1504
-20.0758	0.	-11.1208
-20.2961	0.	-12.0963
-20.5108	0.	-13.072
-20.7197	0.	-14.0425
-20.9227	0.	-15.0023
